Date,Close,Open,High,Low,Volume,Change_Pct,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_PctB,ATR_14,OBV,Daily_Return,Log_Return,Price_Range,Close_to_SMA20,Daily_Sentiment_Mean,Daily_Sentiment_Std,Positive_Count,Negative_Count,Neutral_Count,Total_Articles,Sentiment_Ratio,Sent_Mean_MA1,Sent_Mean_MA3,Sent_Mean_MA5,Sent_Mean_MA7,Sent_Mean_MA14,Sent_Mean_MA20,Sent_Ratio_MA1,Sent_Ratio_MA3,Sent_Ratio_MA5,Sent_Ratio_MA7,Sent_Ratio_MA14,Sent_Ratio_MA20,Articles_MA1,Articles_MA3,Articles_MA5,Articles_MA7,Articles_MA14,Articles_MA20,Sent_Momentum_3d,Sent_Momentum_7d
2026-02-25,67978.8,64058.2,69819.3,63930.4,105590.0,6.14,68006.8,79708.8,67459.63606731172,70994.16169942197,42.39952288916807,-3534.5256321102497,-4105.438531091139,570.9128989808896,71526.49914145294,68006.8,64487.10085854708,0.10351021196271341,0.49602238730148324,2629.5642857142857,-2106567490.0,0.06135946340915055,0.05955059905726871,0.08662847829029052,-0.000411723533529,0.0,0.0,0,0,2,2,0.0,0.0,-0.6666666666666666,-0.8,-0.5714285714285714,-0.3095238095238095,-0.375,0.0,-0.6666666666666666,-0.8,-0.5714285714285714,-0.3095238095238095,-0.3616666666666667,2.0,2.0,1.6,1.5714285714285714,1.6428571428571428,2.2,1.0,-1.0
2026-02-26,67482.1,67987.2,68842.9,66573.7,72070.0,-0.73,67853.12,79231.59,67463.09205695607,70734.00898094627,41.44582973758814,-3270.9169239901967,-3938.534209670951,667.6172856807543,71166.5824203356,67853.12,64539.657579664396,0.09766573505641608,0.44401324763441646,2562.2642857142855,-2106639560.0,-0.007306689732681337,-0.007333514336014875,0.03362669507913946,-0.005467987323206207,0.5,0.7071067811865476,1,0,1,2,0.5,0.5,-0.16666666666666666,-0.5,-0.5,-0.20238095238095236,-0.32999999999999996,0.5,-0.1666666666666666,-0.5,-0.5,-0.20238095238095236,-0.31666666666666665,2.0,2.0,1.8,1.7142857142857142,1.7142857142857142,2.05,1.5,0.5
2026-02-27,65870.2,67487.7,68190.8,65018.7,75210.0,-2.39,67680.655,78727.36,67218.03174050129,70373.7268342095,38.42523252494313,-3155.6950937082147,-3781.966386478404,626.2712927701891,71031.60853749499,67680.655,64329.701462505014,0.09902249136019704,0.22985972802335325,2536.378571428572,-2106714770.0,-0.02388633430198539,-0.02417623859390944,0.04815682964375402,-0.02674996274784873,0.1,1.1532562594670797,1,1,1,3,0.0,0.1,0.19999999999999998,-0.27999999999999997,-0.4857142857142857,-0.26666666666666666,-0.3083333333333333,0.0,0.16666666666666674,-0.3,-0.5,-0.2738095238095238,-0.3,3.0,2.3333333333333335,2.2,1.8571428571428572,1.8571428571428572,2.05,1.1,0.1
2026-03-01,65763.3,66990.7,68159.2,65093.1,71350.0,-1.84,67295.075,77760.724,66965.19313964885,69800.47664112612,39.22086215946162,-2835.283501477272,-3457.872244821898,622.5887433446264,70248.69524418708,67295.075,64341.45475581291,0.08778117103479222,0.24069533769369533,2750.7214285714294,-2106707180.0,-0.01838495410105223,-0.01855605776999356,0.04662326860118027,-0.022762066912028766,0.0,1.4142135623730951,1,1,0,2,0.0,0.0,0.19999999999999998,-0.08,-0.34285714285714286,-0.26666666666666666,-0.2616666666666666,0.0,0.16666666666666674,-0.1,-0.35714285714285715,-0.2738095238095238,-0.2666666666666667,2.0,2.3333333333333335,2.2,2.0,1.9285714285714286,2.0,0.0,1.0
2026-03-03,68318.5,68802.7,69213.3,66288.7,80590.0,-0.69,67357.58499999999,76858.764,67411.04715915688,69621.44979520414,46.2446330957202,-2210.4026360472635,-3051.8595711389,841.4569350916363,70341.34026108116,67357.58499999999,64373.82973891882,0.08859448452854031,0.6610244332927995,2916.2214285714294,-2106678970.0,-0.006865743675026348,-0.0068894213318488025,0.04280831692733309,0.01426587666407589,-0.3333333333333333,0.5163977794943222,0,2,4,6,-0.3333333333333333,-0.3333333333333333,-0.07777777777777777,0.053333333333333344,-0.24761904761904763,-0.26666666666666666,-0.2658333333333333,-0.3333333333333333,-0.11111111111111104,0.03333333333333334,-0.2619047619047619,-0.2738095238095238,-0.27083333333333337,6.0,3.6666666666666665,3.0,2.7142857142857144,1.9285714285714286,2.1,-0.8333333333333333,0.6666666666666667
2026-03-04,72768.7,68319.3,74031.0,67426.4,136550.0,6.51,67683.58499999999,76406.228,68235.30144236352,69854.57944000383,55.9729254884463,-1619.2779976403108,-2765.343256439182,1146.0652587988711,71473.13567536864,67683.58499999999,63894.03432463135,0.1119784265377978,1.170939042068005,3205.8857142857155,-2106542420.0,0.06513901798195221,0.06310532395904345,0.09076154995210861,0.07513069823355258,1.0,0.0,1,0,0,1,1.0,1.0,0.22222222222222224,0.2533333333333333,0.038095238095238085,-0.12380952380952381,-0.2033333333333333,1.0,0.22222222222222232,0.23333333333333334,0.02380952380952382,-0.13095238095238093,-0.20833333333333331,1.0,3.0,2.8,2.5714285714285716,1.9285714285714286,1.95,0.9,2.0
2026-03-10,69951.9,68424.7,71742.9,68401.8,93010.0,2.22,67698.28,73228.83399999999,68353.41381892982,69323.13793912766,51.07486158318056,-969.7241201978322,-1597.715332440771,627.9912122429387,71734.86877068348,67698.28,63661.691229316515,0.11925232873519033,0.7791490696757813,3620.964285714285,-2106628460.0,0.02215809046474404,0.02191616716185305,0.047762819880517775,0.03328917662309878,-1.0,0.0,0,1,0,1,-1.0,-1.0,-0.11111111111111109,-0.046666666666666655,0.038095238095238085,-0.19523809523809524,-0.2033333333333333,-1.0,-0.11111111111111101,-0.06666666666666665,0.02380952380952382,-0.20238095238095236,-0.20833333333333331,1.0,2.6666666666666665,2.6,2.4285714285714284,1.9285714285714286,1.9,-1.0,0.0
2026-03-13,70957.0,70500.3,73904.1,70396.4,99060.0,0.66,68129.665,72114.566,69234.94610514137,69579.53545185538,53.316759443015286,-344.5893467140122,-1070.7231648142324,726.1338181002202,72662.55700971218,68129.665,63596.7729902878,0.13306661671423725,0.8118687797924758,3335.6142857142854,-2106385050.0,0.006566506984272413,0.006545041395336764,0.04943416435305906,0.041499323385782196,0.0,0.0,0,0,1,1,0.0,0.0,0.0,-0.06666666666666665,0.038095238095238085,-0.26666666666666666,-0.15333333333333332,0.0,9.251858538542972e-17,-0.06666666666666665,0.02380952380952382,-0.2738095238095238,-0.15833333333333333,1.0,1.0,2.2,2.2857142857142856,1.9285714285714286,1.9,0.3333333333333333,0.0
2026-03-16,74864.1,72816.2,74900.7,72307.2,89610.0,2.81,69256.10500000001,71182.68,70783.93503229093,70296.0714441518,61.930398850726256,487.86358813912375,-453.5480527847289,941.4116409238527,74283.84988465604,69256.10500000001,64228.36011534398,0.14519282840569878,1.0577048088810959,2865.5285714285733,-2106215800.0,0.028127059986816194,0.027738758604185645,0.0346427727041399,0.08097473861690596,0.0,0.0,0,0,1,1,0.0,0.0,-0.3333333333333333,-0.06666666666666665,-0.03333333333333334,-0.26666666666666666,-0.2033333333333333,0.0,-0.33333333333333326,-0.06666666666666665,-0.04761904761904761,-0.2738095238095238,-0.20833333333333331,1.0,1.0,2.0,2.142857142857143,1.9285714285714286,1.9,-1.0,-0.5
2026-03-20,70517.2,69921.8,71347.1,69405.0,58030.0,0.86,70119.33499999999,69864.968,70972.36950414101,70559.32167083796,49.79597604116928,413.0478333030478,130.32074543301468,282.72708787003313,74963.32557988615,70119.33499999999,65275.34442011384,0.1381641905156732,0.5410678957192927,2534.1500000000005,-2106380860.0,0.008588792091159814,0.008552118256052309,0.027540798556947892,0.0056741125682382085,1.0,0.0,1,0,0,1,1.0,1.0,0.3333333333333333,0.2,0.09523809523809523,-0.19523809523809524,-0.15333333333333332,1.0,0.3333333333333334,0.2,0.09523809523809525,-0.20238095238095236,-0.1583333333333333,1.0,1.0,1.0,1.8571428571428572,1.8571428571428572,1.9,2.0,0.9
2026-03-21,68880.5,70513.2,71058.4,68643.6,35790.0,-2.32,70275.195,69557.868,70650.54342658086,70434.96451003515,45.76994393352236,215.57891654570994,147.37237965555374,68.2065368901562,74712.57181992702,70275.195,65837.818180073,0.12628572058539325,0.3428469052102107,2596.9000000000005,-2106416650.0,-0.023209940269891538,-0.02348353259889947,0.035057817524553225,-0.019846191817753146,1.0,0.0,1,0,0,1,1.0,1.0,0.6666666666666666,0.2,0.23809523809523808,-0.05238095238095237,-0.08666666666666664,1.0,0.6666666666666666,0.2,0.2380952380952381,-0.05952380952380952,-0.09166666666666665,1.0,1.0,1.0,1.7142857142857142,1.8571428571428572,1.65,1.0,1.0
2026-03-26,68812.6,71326.8,71419.0,68172.2,68450.0,-3.52,70304.41,68881.642,70249.93213767637,70271.76401321104,46.12680527901156,-21.831875534669962,71.67186958437024,-93.5037451190402,74552.85941864233,70304.41,66055.96058135768,0.12085868919580792,0.32442888534180375,2624.8785714285737,-2106458320.0,-0.03524902280769637,-0.035885265668001834,0.04718321935226982,-0.021219294778236496,0.0,0.0,0,0,1,1,0.0,0.0,0.6666666666666666,0.4,0.2857142857142857,0.01904761904761906,-0.03666666666666666,0.0,0.6666666666666666,0.4,0.2857142857142857,0.01190476190476191,-0.041666666666666664,1.0,1.0,1.0,1.0,1.8571428571428572,1.65,0.0,0.3333333333333333
2026-03-27,66395.8,68812.6,69153.6,65578.2,92630.0,-3.51,70261.255,68952.4,69656.98873188,69984.655567788,40.97379855386392,-327.6668359079922,-8.195871514102253,-319.47096439389,74655.00979251659,70261.255,65867.50020748342,0.12506906665747958,0.060119398722065745,2629.7142857142876,-2106550950.0,-0.03512147484617645,-0.035753066236400476,0.05384979170369223,-0.055015456242562155,0.0,0.0,0,0,1,1,0.0,0.0,0.3333333333333333,0.4,0.14285714285714285,0.09047619047619049,-0.03666666666666666,0.0,0.3333333333333334,0.4,0.14285714285714285,0.08333333333333334,-0.041666666666666664,1.0,1.0,1.0,1.0,1.7857142857142858,1.65,-1.0,-1.0
2026-03-28,66364.3,66396.0,67265.5,65947.7,36570.0,-0.05,70280.84,68868.57199999999,69150.4212346677,69716.48108128518,40.9096498892177,-566.0598466174852,-119.76866653477884,-446.2911800827063,74596.9093791829,70280.84,65964.7706208171,0.12282350009427595,0.04628393847303495,2660.292857142859,-2106587520.0,-0.00047442759933613576,-0.00047454017571727793,0.019857061703355612,-0.055726994725731706,0.0,0.0,0,0,1,1,0.0,0.0,0.0,0.4,0.2857142857142857,0.1619047619047619,-0.08666666666666666,0.0,0.0,0.4,0.2857142857142857,0.1547619047619048,-0.09166666666666666,1.0,1.0,1.0,1.0,1.7142857142857142,1.65,-1.0,1.0
